OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
ACF,93575,Child Care and Development Block Grant,20PAIACCC3,CCC3-2020,4/13/2020,SAC & FOX OF MISSISSIPPI IN IOWA,TAMA,IA,C3,"$74,042"
ACF,93575,Child Care and Development Block Grant,2001IDCCC3,CCC3-2020,4/13/2020,ID ST DEPT OF HEALTH & WELFARE,BOISE,ID,C3,"$20,672,881"
ACF,93575,Child Care and Development Block Grant,20PAIDCCC3,CCC3-2020,4/13/2020,SHOSHONE-BANNOCK TRIBAL BUSINESS COUNCIL,FORT HALL,ID,C3,"$387,364"
ACF,93575,Child Care and Development Block Grant,20PCIDCCC3,CCC3-2020,4/13/2020,NEZ PERCE TRIBE OF IDAHO,LAPWAI,ID,C3,"$153,759"
ACF,93575,Child Care and Development Block Grant,20PBIDCCC3,CCC3-2020,4/13/2020,COEUR DALENE TRIBE,PLUMMER,ID,C3,"$138,151"
ACF,93575,Child Care and Development Block Grant,2001ILCCC3,CCC3-2020,4/13/2020,ILLINOIS DEPT OF HUMAN SERVICES,CHICAGO,IL,C3,"$118,420,119"
ACF,93575,Child Care and Development Block Grant,2001INCCC3,CCC3-2020,4/13/2020,INDIANA FAMILY AND SOCIAL SERVICES ADMINISTRATION,INDIANAPOLIS,IN,C3,"$78,821,955"
ACF,93575,Child Care and Development Block Grant,20PEKSCCC3,CCC3-2020,4/13/2020,KICKAPOO TRIBE OF KANSAS,HORTON,KS,C3,"$64,109"
ACF,93575,Child Care and Development Block Grant,20PCKSCCC3,CCC3-2020,4/13/2020,PRAIRIE BAND POTAWATOMI INDIANS,MAYETTA,KS,C3,"$150,276"
ACF,93575,Child Care and Development Block Grant,20KSKSCCC3,CCC3-2020,4/13/2020,SAC & FOX OF TRIBE,RESERVE,KS,C3,"$9,803"
ACF,93575,Child Care and Development Block Grant,2001KSCCC3,CCC3-2020,4/13/2020,KS ST DEPARTMENT OF SOCIAL & REHABILITATION SERVICES,TOPEKA,KS,C3,"$30,771,514"
ACF,93575,Child Care and Development Block Grant,20PBKSCCC3,CCC3-2020,4/13/2020,IOWA TRIBE OF KANSAS & NEBRASKA,WHITE CLOUD,KS,C3,"$23,606"
ACF,93575,Child Care and Development Block Grant,2001KYCCC3,CCC3-2020,4/13/2020,KY ST CABINET FOR FAMILIES & CHILDREN,FRANKFORT,KY,C3,"$67,741,412"
ACF,93575,Child Care and Development Block Grant,2001LACCC3,CCC3-2020,4/13/2020,"LA ST DEPARTMENT OF EDUCATION, BUREAU OF ACCOUNTING",BATON ROUGE,LA,C3,"$67,581,166"
ACF,93575,Child Care and Development Block Grant,20PBLACCC3,CCC3-2020,4/13/2020,CHITIMACHA TRIBE OF LOUISIANA,CHARENTON,LA,C3,"$30,958"
ACF,93575,Child Care and Development Block Grant,20PALACCC3,CCC3-2020,4/13/2020,COUSHATTA TRIBE OF LOUISIANA,ELTON,LA,C3,"$27,088"
ACF,93575,Child Care and Development Block Grant,20PAMACCC3,CCC3-2020,4/13/2020,WAMPANOAG TRIBE OF GAY HEAD,AQUINNAH,MA,C3,"$20,123"
ACF,93575,Child Care and Development Block Grant,2001MACCC3,CCC3-2020,4/13/2020,Comm of Mass-Dept of Early Education & Care,BOSTON,MA,C3,"$45,698,950"
ACF,93575,Child Care and Development Block Grant,20PCMACCC3,CCC3-2020,4/13/2020,MASHPEE WAMPANOAG TRIBE,MASHPEE,MA,C3,"$364,016"
ACF,93575,Child Care and Development Block Grant,2001MDCCC3,CCC3-2020,4/13/2020,"EDUCATION, MARYLAND DEPARTMENT OF",BALTIMORE,MD,C3,"$45,821,890"
ACF,93575,Child Care and Development Block Grant,2001MECCC3,CCC3-2020,4/13/2020,Maine St. Department of Health and Human Services,AUGUSTA,ME,C3,"$10,953,470"
ACF,93575,Child Care and Development Block Grant,20PEMECCC3,CCC3-2020,4/13/2020,HOULTON BAND OF MALISEET INDIANS,HOULTON,ME,C3,"$27,991"
ACF,93575,Child Care and Development Block Grant,20PAMECCC3,CCC3-2020,4/13/2020,PENOBSCOT INDIAN NATION,OLD TOWN,ME,C3,"$39,859"
ACF,93575,Child Care and Development Block Grant,20PBMECCC3,CCC3-2020,4/13/2020,PASSAMAQUODDY TRIBE (PLEASANT POINT RESERVATION),PERRY,ME,C3,"$20,510"
ACF,93575,Child Care and Development Block Grant,20PFMECCC3,CCC3-2020,4/13/2020,"AROOSTOCK MICMAC COUNCIL, INC",PRESQUE ISLE,ME,C3,"$32,764"
ACF,93575,Child Care and Development Block Grant,20PDMECCC3,CCC3-2020,4/13/2020,PASSAMAQUODDY TRIBE (INDIAN TOWNSHIP),PRINCETON,ME,C3,"$25,927"
ACF,93575,Child Care and Development Block Grant,20PBMICCC3,CCC3-2020,4/13/2020,KEWEENAW BAY INDIAN COMMUNITY,BARAGA,MI,C3,"$64,238"
ACF,93575,Child Care and Development Block Grant,20PDMICCC3,CCC3-2020,4/13/2020,BAY MILLS INDIAN COMMUNITY,BRIMLEY,MI,C3,"$41,020"
ACF,93575,Child Care and Development Block Grant,20PJMICCC3,CCC3-2020,4/13/2020,KOKAGON BAND OF POTAWATOMI,DOWAGIAC,MI,C3,"$97,905"
ACF,93575,Child Care and Development Block Grant,20PSMICCC3,CCC3-2020,4/13/2020,"NOTTAWASEPPI HURON BAND OF THE POTAWATOMI, INC",FULTON,MI,C3,"$30,829"
ACF,93575,Child Care and Development Block Grant,2001MICCC3,CCC3-2020,4/13/2020,DEPARTMENT OF EDUCATION MICHIGAN,LANSING,MI,C3,"$100,898,829"
ACF,93575,Child Care and Development Block Grant,20MIMICCC3,CCC3-2020,4/13/2020,LITTLE RIVER BAND OF OTTAWA INDIANS,MANISTEE,MI,C3,"$14,060"
ACF,93575,Child Care and Development Block Grant,20PQMICCC3,CCC3-2020,4/13/2020,LITTLE TRAVERSE BAY BANDS OF ODAWA INDIANS,PETOSKEY,MI,C3,"$14,060"
ACF,93575,Child Care and Development Block Grant,20PAMICCC3,CCC3-2020,4/13/2020,SAULT STE MARIE TRIBE OF CHIPPEWA INDIANS,SAULT STE MARIE,MI,C3,"$401,553"
ACF,93575,Child Care and Development Block Grant,20PGMICCC3,CCC3-2020,4/13/2020,GRAND TRAVERSE BAND OF OTTAWA-CHIPPEWA INDIANS,SUTTONS BAY,MI,C3,"$35,602"
ACF,93575,Child Care and Development Block Grant,20PIMICCC3,CCC3-2020,4/13/2020,LAC VIEUX DESERT BAND OF CHIPPEWA INDIANS,WATERSMEET,MI,C3,"$14,060"
ACF,93575,Child Care and Development Block Grant,20PEMICCC3,CCC3-2020,4/13/2020,HANNAHVILLE HEALTH CENTER,WILSON,MI,C3,"$37,150"
ACF,93575,Child Care and Development Block Grant,20PQMNCCC3,CCC3-2020,4/13/2020,LEECH LAKE RESERVATION TRIBAL COUNCIL,CASS LAKE,MN,C3,"$446,313"
ACF,93575,Child Care and Development Block Grant,20PKMNCCC3,CCC3-2020,4/13/2020,FOND DU LAC RESERVATION BUSINESS COMMITTEE,CLOQUET,MN,C3,"$174,397"
ACF,93575,Child Care and Development Block Grant,20PLMNCCC3,CCC3-2020,4/13/2020,GRAND PORTAGE RESERVATION INDIAN CHILD & FAMILY SVCS,GRAND PORTAGE,MN,C3,"$13,028"
ACF,93575,Child Care and Development Block Grant,20PHMNCCC3,CCC3-2020,4/13/2020,UPPER SIOUX INDIAN COMMUNITY,GRANITE FALLS,MN,C3,"$17,285"
ACF,93575,Child Care and Development Block Grant,20PNMNCCC3,CCC3-2020,4/13/2020,Lower Sioux Community Council,MORTON,MN,C3,"$42,696"
ACF,93575,Child Care and Development Block Grant,20PIMNCCC3,CCC3-2020,4/13/2020,BOIS FORTE RESERVATION TRIBAL COUNCIL,NETT LAKE,MN,C3,"$60,884"
ACF,93575,Child Care and Development Block Grant,20PEMNCCC3,CCC3-2020,4/13/2020,MILLE LACS BAND OF CHIPPEWA INDIANS,ONAMIA,MN,C3,"$161,111"
ACF,93575,Child Care and Development Block Grant,20PMMNCCC3,CCC3-2020,4/13/2020,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,PRIOR LAKE,MN,C3,"$86,554"
ACF,93575,Child Care and Development Block Grant,20PBMNCCC3,CCC3-2020,4/13/2020,RED LAKE BAND OF CHIPPEWA INDIANS,RED LAKE,MN,C3,"$395,619"
ACF,93575,Child Care and Development Block Grant,2001MNCCC3,CCC3-2020,4/13/2020,MN ST DEPARTMENT OF HUMAN SERVICES,ST PAUL,MN,C3,"$48,146,164"
ACF,93575,Child Care and Development Block Grant,20PCMNCCC3,CCC3-2020,4/13/2020,WHITE EARTH RESERVATION BUSINESS COMMITTEE,WHITE EARTH,MN,C3,"$669,341"
ACF,93575,Child Care and Development Block Grant,2001MOCCC3,CCC3-2020,4/13/2020,MO ST DEPARTMENT OF SOCIAL SERVICES,JEFFERSON CITY,MO,C3,"$66,542,726"
ACF,93575,Child Care and Development Block Grant,20QOOKCCC3,CCC3-2020,4/13/2020,EAST SHAWNEE TRIBE OF OKLAHOMA,SENECA,MO,C3,"$661,988"
ACF,93575,Child Care and Development Block Grant,2001MPCCC3,CCC3-2020,4/13/2020,CM ADVISORY COUNCIL FOR VOCATIONAL EDUCATION,SAIPAN,MP,C3,"$3,253,447"
ACF,93575,Child Care and Development Block Grant,2001MSCCC3,CCC3-2020,4/13/2020,MS ST DEPARTMENT OF PUBLIC WELFARE,JACKSON,MS,C3,"$47,131,386"
ACF,93575,Child Care and Development Block Grant,20PAMSCCC3,CCC3-2020,4/13/2020,MISSISSIPPI BAND OF CHOCTAW INDIANS,PHILADELPHIA,MS,C3,"$260,435"
ACF,93575,Child Care and Development Block Grant,20PSMTCCC3,CCC3-2020,4/13/2020,CHIPPEWA CREE TRIBE BUSINESS COMMITTEE,BOX ELDER,MT,C3,"$220,448"
ACF,93575,Child Care and Development Block Grant,20PNMTCCC3,CCC3-2020,4/13/2020,BLACKFEET TRIBAL BUSINESS COUNCIL (ONAP),BROWNING,MT,C3,"$321,836"
ACF,93575,Child Care and Development Block Grant,20PRMTCCC3,CCC3-2020,4/13/2020,CROW INDIAN TRIBE SOCIAL SERVICE DIVISION,CROW AGENCY,MT,C3,"$509,648"
ACF,93575,Child Care and Development Block Grant,20PDMTCCC3,CCC3-2020,4/13/2020,FT BELKNAP COMMUNITY COUNCIL,HARLEM,MT,C3,"$247,278"
ACF,93575,Child Care and Development Block Grant,2001MTCCC3,CCC3-2020,4/13/2020,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",HELENA,MT,C3,"$10,113,887"
ACF,93575,Child Care and Development Block Grant,20PMMTCCC3,CCC3-2020,4/13/2020,NORTHERN CHEYENNE TRIBAL COUNCIL,LAME DEER,MT,C3,"$305,583"
ACF,93575,Child Care and Development Block Grant,20PFMTCCC3,CCC3-2020,4/13/2020,CONFEDERATED SALISH & KOOTENAI TRIBES,PABLO,MT,C3,"$347,763"
